no,comment,labels,processed_text
1,COVID-19 dapat diobati dengan minum air putih setiap 15 menit., (Hoax),covid19 obat minum air putih 15 menit
2,WHO menegaskan bahwa vaksin COVID-19 telah melalui tahapan pengujian yang ketat sebelum disetujui untuk penggunaan umum., (Bukan Hoax),who vaksin covid19 tahap uji ketat tuju guna
3,Alien telah mendarat di Area 51 menurut sumber anonim., (Hoax),alien darat area 51 sumber anonim
4,NASA meluncurkan misi baru ke Mars untuk mencari tanda-tanda kehidupan., (Bukan Hoax),nasa luncur misi mars cari tandatanda hidup
5,Mengkonsumsi bawang putih dapat mencegah infeksi virus Corona., (Hoax),konsumsi bawang putih cegah infeksi virus corona
6,Pemerintah menutup semua jaringan internet mulai besok., (Hoax),perintah tutup jaring internet besok
7,Penggunaan masker dapat membantu mencegah penyebaran COVID-19., (Bukan Hoax),guna masker bantu cegah sebar covid19
8,Apple merilis iPhone generasi terbaru dengan fitur keamanan baru., (Bukan Hoax),apple rilis iphone generasi baru fitur aman
9,UNESCO telah mengumumkan Bahasa Indonesia sebagai bahasa terbaik di dunia., (Hoax),unesco umum bahasa indonesia bahasa baik dunia
10,Riset terbaru menunjukkan bahwa perubahan iklim berkontribusi terhadap peningkatan intensitas badai., (Bukan Hoax),riset baru ubah iklim kontribusi tingkat intensitas badai
11,Menggunakan hand sanitizer secara berlebihan akan membuat tangan Anda terbakar., (Hoax),hand sanitizer tangan bakar
12,Presiden mengumumkan rencana untuk memperkuat infrastruktur jaringan broadband nasional., (Bukan Hoax),presiden umum rencana kuat infrastruktur jaring broadband nasional
13,Memakai pakaian berwarna merah dapat menarik perhatian UFO., (Hoax),pakai pakai warna merah tarik perhati ufo
14,Facebook merilis pembaruan privasi baru untuk meningkatkan perlindungan data pengguna., (Bukan Hoax),facebook rilis baru privasi tingkat lindung data guna
15,Hewan peliharaan dapat menyebarkan virus Corona kepada manusia., (Hoax),hewan pelihara sebar virus corona manusia
16,Google meluncurkan algoritma pencarian baru untuk memberikan hasil yang lebih relevan dan akurat., (Bukan Hoax),google luncur algoritma cari hasil relevan akurat
17,Berjemur di bawah sinar matahari pagi dapat menghilangkan virus COVID-19., (Hoax),jemur sinar matahari pagi hilang virus covid19
18,Ilmuwan telah mengidentifikasi jenis baru dari spesies kupu-kupu di Amazon., (Bukan Hoax),ilmuwan identifikasi jenis spesies kupukupu amazon
19,Konsumsi vitamin C berlebihan akan membuat Anda kebal terhadap virus., (Hoax),konsumsi vitamin c kebal virus
20,Tesla meluncurkan model mobil listrik baru dengan jangkauan baterai yang lebih besar., (Bukan Hoax),tesla luncur model mobil listrik jangkau baterai
