no,comment,labels
1,COVID-19 dapat diobati dengan minum air putih setiap 15 menit., (Hoax)
2,WHO menegaskan bahwa vaksin COVID-19 telah melalui tahapan pengujian yang ketat sebelum disetujui untuk penggunaan umum., (Bukan Hoax)
3,Alien telah mendarat di Area 51 menurut sumber anonim., (Hoax)
4,NASA meluncurkan misi baru ke Mars untuk mencari tanda-tanda kehidupan., (Bukan Hoax)
5,Mengkonsumsi bawang putih dapat mencegah infeksi virus Corona., (Hoax)
6,Pemerintah menutup semua jaringan internet mulai besok., (Hoax)
7,Penggunaan masker dapat membantu mencegah penyebaran COVID-19., (Bukan Hoax)
8,Apple merilis iPhone generasi terbaru dengan fitur keamanan baru., (Bukan Hoax)
9,UNESCO telah mengumumkan Bahasa Indonesia sebagai bahasa terbaik di dunia., (Hoax)
10,Riset terbaru menunjukkan bahwa perubahan iklim berkontribusi terhadap peningkatan intensitas badai., (Bukan Hoax)
11,Menggunakan hand sanitizer secara berlebihan akan membuat tangan Anda terbakar., (Hoax)
12,Presiden mengumumkan rencana untuk memperkuat infrastruktur jaringan broadband nasional., (Bukan Hoax)
13,Memakai pakaian berwarna merah dapat menarik perhatian UFO., (Hoax)
14,Facebook merilis pembaruan privasi baru untuk meningkatkan perlindungan data pengguna., (Bukan Hoax)
15,Hewan peliharaan dapat menyebarkan virus Corona kepada manusia., (Hoax)
16,Google meluncurkan algoritma pencarian baru untuk memberikan hasil yang lebih relevan dan akurat., (Bukan Hoax)
17,Berjemur di bawah sinar matahari pagi dapat menghilangkan virus COVID-19., (Hoax)
18,Ilmuwan telah mengidentifikasi jenis baru dari spesies kupu-kupu di Amazon., (Bukan Hoax)
19,Konsumsi vitamin C berlebihan akan membuat Anda kebal terhadap virus., (Hoax)
20,Tesla meluncurkan model mobil listrik baru dengan jangkauan baterai yang lebih besar., (Bukan Hoax)
